Strain,Time,N5,N7,Lib
H5,5,N506,N705,YHS1
C8,3,N503,N708,YHS1
H2,5,N506,N702,YHS1
H1,3,N504,N701,YHS1
C1,3,N503,N701,YHS1
C1,5,N505,N701,YHS1
C2,3,N503,N702,YHS1
C8,1,N517,N708,YHS1
H2,1,N502,N702,YHS1
C5,1,N517,N705,YHS1
H3,3,N504,N703,YHS1
C2,1,N517,N702,YHS1
C1,1,N517,N701,YHS1
C7,5,N505,N707,YHS1
C9,5,N505,N711,YHS1
H8,1,N502,N708,YHS1
H4,1,N502,N704,YHS1
C7,3,N503,N707,YHS1
H4,3,N504,N704,YHS1
H2,3,N504,N702,YHS1
C6,5,N505,N706,YHS1
H1,5,N506,N701,YHS1
H10,3,N504,N712,YHS1
C10,3,N503,N712,YHS1
H6,3,N504,N706,YHS1
H1,1,N502,N701,YHS1
H8,3,N504,N708,YHS1
C4,3,N503,N704,YHS1
C8,5,N505,N708,YHS1
C3,1,N517,N703,YHS1
H8,5,N506,N708,YHS1
C4,1,N517,N704,YHS1
C2,5,N505,N702,YHS1
H7,1,N502,N707,YHS1
H7,3,N504,N707,YHS1
H5,1,N502,N705,YHS1
C3,3,N503,N703,YHS1
H4,5,N506,N704,YHS1
C10,5,N505,N712,YHS1
H5,3,N504,N705,YHS1
C9,3,N503,N711,YHS1
C5,3,N503,N705,YHS1
H3,1,N502,N703,YHS1
C6,3,N503,N706,YHS1
C7,1,N517,N707,YHS1
H7,5,N506,N707,YHS1
C3,5,N505,N703,YHS1
H9,1,N502,N711,YHS1
C4,5,N505,N704,YHS1
H6,5,N506,N706,YHS1
H9,3,N504,N711,YHS1
C5,5,N505,N705,YHS1
H6,1,N502,N706,YHS1
C6,1,N517,N706,YHS1
H10,1,N502,N712,YHS1
H3,5,N506,N703,YHS1
C10,1,N517,N712,YHS1
C9,1,N517,N711,YHS1
H9,5,N506,N711,YHS1
H10,5,N506,N712,YHS1
C1,7,N517,N701,YHS2
C2,7,N517,N702,YHS2
C3,7,N517,N703,YHS2
C4,7,N517,N704,YHS2
C5,7,N517,N705,YHS2
C6,7,N517,N706,YHS2
C7,7,N517,N709,YHS2
C8,7,N517,N710,YHS2
C9,7,N517,N711,YHS2
C10,7,N517,N712,YHS2
H1,7,N502,N701,YHS2
H2,7,N502,N702,YHS2
H3,7,N502,N703,YHS2
H4,7,N502,N704,YHS2
H5,7,N502,N705,YHS2
H6,7,N502,N706,YHS2
H7,7,N502,N709,YHS2
H8,7,N502,N710,YHS2
H9,7,N502,N711,YHS2
H10,7,N502,N712,YHS2
C1,9,N503,N701,YHS2
C2,9,N503,N702,YHS2
C3,9,N503,N703,YHS2
C4,9,N503,N704,YHS2
C5,9,N503,N705,YHS2
C6,9,N503,N706,YHS2
C7,9,N503,N709,YHS2
C8,9,N503,N710,YHS2
C9,9,N503,N711,YHS2
C10,9,N503,N712,YHS2
H1,9,N504,N701,YHS2
H2,9,N504,N702,YHS2
H3,9,N504,N703,YHS2
H4,9,N504,N704,YHS2
H5,9,N504,N705,YHS2
H6,9,N504,N706,YHS2
H7,9,N504,N709,YHS2
H8,9,N504,N710,YHS2
H9,9,N504,N711,YHS2
H10,9,N504,N712,YHS2
C1,12,N507,N701,YHS2
C2,12,N507,N702,YHS2
C3,12,N507,N703,YHS2
C4,12,N507,N704,YHS2
C5,12,N507,N705,YHS2
C6,12,N507,N706,YHS2
C7,12,N507,N709,YHS2
C8,12,N507,N710,YHS2
C9,12,N507,N711,YHS2
C10,12,N507,N712,YHS2
H1,12,N508,N701,YHS2
H2,12,N508,N702,YHS2
H3,12,N508,N703,YHS2
H4,12,N508,N704,YHS2
H5,12,N508,N705,YHS2
H6,12,N508,N706,YHS2
H7,12,N508,N709,YHS2
H8,12,N508,N710,YHS2
H9,12,N508,N711,YHS2
H10,12,N508,N712,YHS2
P2,0,N507,N707,YHS1